"","Fraud","Fraud_times_30","Fraud_times_14","Fraud_times_7","Fraud_times_3","Fraud_times_1","Total_amount_card_7","Total_amount_card_14","Max_amount_card_30","Total_amount_card_3","Avg_amount_merch_3","Avg_amount_card_3","Max_amount_card_14","Avg_amount_card_30","Median_amount_card_3","Max_amount_card_3","Total_amount_card_30","Max_amount_card_7","Max_amount_merch_3","Total_amount_merch_7","Total_amount_merch_3"
"83768",0,0,0,0,0,0,1860,1860,1860,0,0,0,1860,1860,0,0,1860,1860,0,0,0
"83769",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"83770",0,0,0,0,0,0,0,0,741.9,0,0,0,0,331.555,0,0,1326.22,0,0,0,0
"83771",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"83772",0,0,0,0,0,0,302.79,1901.64,1495,0,0,0,1495,199.83,0,0,2597.79,142.5,0,325.43,0
"83773",0,0,0,0,0,0,320.84,320.84,275.93,0,0,0,275.93,100.1625,0,0,400.65,275.93,0,0,0
"83774",0,0,0,0,0,0,173.46,405.58,1995,159.75,0,159.75,182.71,400.268333333333,159.75,159.75,4803.22,159.75,0,0,0
"83775",0,0,0,0,0,0,2817.82,3151.42,1217.38,0,0,0,1217.38,419.695,0,0,5036.34,1217.38,0,661.26,0
"83776",0,0,0,0,0,0,75,564.5,1935.56,0,0,0,225,500.012,0,0,2500.06,75,0,30,0
"83777",0,0,0,0,0,0,2483.06,2483.06,1190,748.06,0,748.06,895,508.276666666667,748.06,748.06,4574.49,895,0,895,0
"83778",0,0,0,0,0,0,337.96,1348.08,954.92,0,0,0,954.92,321.79,0,0,2574.32,337.96,0,0,0
"83779",0,0,0,0,0,0,432.26,536.06,196.2,0,0,0,196.2,89.3433333333333,0,0,536.06,196.2,0,0,0
"83780",0,0,0,0,0,0,234,334.39,234,0,0,0,234,111.463333333333,0,0,334.39,234,0,142.26,0
"83781",0,0,0,0,0,0,0,0,75,0,193.05,0,0,75,0,0,75,0,274.19,1401.82,579.15
"83782",0,0,0,0,0,0,2779.22,3645.05,2407.22,2407.22,0,2407.22,2407.22,600.166923076923,2407.22,2407.22,7802.17,2407.22,0,0,0
"83783",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"83784",0,0,0,0,0,0,173.46,405.58,1995,159.75,0,159.75,182.71,400.268333333333,159.75,159.75,4803.22,159.75,0,0,0
"83785",0,0,0,0,0,0,35,35,316.5,0,0,0,35,160.248571428571,0,0,1121.74,35,0,433.23,0
"83786",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"83787",0,0,0,0,0,0,2595,4095,2105,0,0,0,2105,1302.005,0,0,5208.02,2105,0,0,0
"83788",0,0,0,0,0,0,119.97,3504.65,2376,119.97,0,119.97,2376,553.788571428571,119.97,119.97,3876.52,119.97,0,0,0
"83789",0,0,0,0,0,0,0,0,2228.45,0,258,0,0,1233.45,0,0,2466.9,0,568.01,1376.02,774
"83790",0,0,0,0,0,0,0,0,794,0,1765.16,0,0,382.465714285714,0,0,2677.26,0,1765.16,2083.66,1765.16
"83791",0,0,0,0,0,0,692,692,1655.35,0,0,0,692,1286.97333333333,0,0,3860.92,692,0,0,0
"83792",0,0,0,0,0,0,162.73,1535.68,1300,112.78,0,112.78,1300,383.92,112.78,112.78,1535.68,112.78,0,0,0
"83793",0,1,0,0,0,0,0,697.01,1297.99,0,0,0,395.04,369.656666666667,0,0,2217.94,0,0,0,0
"83794",0,0,0,0,0,0,49,2239.93,2145,0,0,0,2145,509.752,0,0,2548.76,49,0,0,0
"83795",0,0,0,0,0,0,244.07,3603.93,4133.96,244.07,296.724615384615,244.07,1669.97,662.374615384615,244.07,244.07,8610.87,244.07,1649,28070.53,3857.42
"83796",0,0,0,0,0,0,277.44,568.44,291,277.44,0,277.44,291,202.61,277.44,277.44,607.83,277.44,0,0,0
"83797",0,0,0,0,0,0,425.39,1684.09,1409.55,0,0,0,617.45,459.844285714286,0,0,3218.91,425.39,0,0,0
"83798",0,0,0,0,0,0,765.6,765.6,314.42,0,0,0,314.42,255.2,0,0,765.6,314.42,0,0,0
"83799",0,0,0,0,0,0,35315.13,35315.13,23940,10669.64,0,10669.64,23911,9875.855,10669.64,10669.64,59255.13,23911,0,0,0
"83800",0,0,0,0,0,0,269.1,1984.66,1032.84,0,0,0,1032.84,258.231428571429,0,0,3615.24,269.1,0,0,0
"83801",0,0,0,0,0,0,692,692,1655.35,0,0,0,692,1286.97333333333,0,0,3860.92,692,0,0,0
"83802",0,0,0,0,0,0,1365.28,1365.28,672.75,0,0,0,672.75,222.54,0,0,1780.32,672.75,0,0,0
"83803",0,0,0,0,0,0,1323.1,1646.73,2207.35,0,0,0,350.4,381.579166666667,0,0,9157.9,350.4,0,303.22,0
"83804",0,0,0,0,0,0,30,181.19,529.25,30,0,30,151.19,215.0975,30,30,860.39,30,0,0,0
"83805",0,0,0,0,0,0,25751.88,44965.08,23778,10010,0,2002,11018,3246.13275,300,8810,129845.31,11018,0,0,0
"83806",0,0,0,0,0,0,187.44,187.44,187.44,0,245,0,187.44,187.44,0,0,187.44,187.44,245,245,245
"83807",0,0,0,0,0,0,464.9,570.51,464.9,0,296.724615384615,0,464.9,285.255,0,0,570.51,464.9,1649,28070.53,3857.42
"83808",0,0,0,0,0,0,87.9,2648.47,2483,87.9,0,87.9,850.7,475.006,87.9,87.9,11875.15,87.9,0,0,0
"83809",0,0,0,0,0,0,0,470.99,999.9,0,0,0,470.99,512.18125,0,0,4097.45,0,0,507.45,0
"83810",0,0,0,0,0,0,1175.15,1341.14,1995.78,608.23,0,304.115,581.4,508.069090909091,304.115,581.4,5588.76,581.4,0,0,0
"83811",0,0,0,0,0,0,1052.87,1052.87,1052.87,1052.87,0,1052.87,1052.87,1052.87,1052.87,1052.87,1052.87,1052.87,0,0,0
"83812",0,0,0,0,0,0,277.44,568.44,291,277.44,0,277.44,291,202.61,277.44,277.44,607.83,277.44,0,0,0
"83813",0,0,0,0,0,0,0,523.92,523.92,0,0,0,523.92,523.92,0,0,523.92,0,0,0,0
"83814",0,0,0,0,0,0,25751.88,44965.08,23778,10010,0,2002,11018,3246.13275,300,8810,129845.31,11018,0,0,0
"83815",0,0,0,0,0,0,25751.88,44965.08,23778,10010,300,2002,11018,3246.13275,300,8810,129845.31,11018,300,1200,1200
"83816",0,0,0,0,0,0,929,1492.98,897,0,0,0,897,262.275,0,0,3147.3,897,0,0,0
"83817",0,0,0,0,0,0,2348.5,3807.94,2078,130.2,0,130.2,1304,774.118235294118,130.2,130.2,13160.01,1304,0,1019,0
"83818",0,0,0,0,0,0,0,0,0,0,129.78,0,0,0,0,0,0,0,129.78,129.78,129.78
"83819",0,0,0,0,0,0,25751.88,44965.08,23778,10010,300,2002,11018,3246.13275,300,8810,129845.31,11018,300,1200,1200
"83820",0,0,0,0,0,0,39.65,572.15,531.25,0,0,0,531.25,108.336666666667,0,0,650.02,39.65,0,39.65,0
"83821",0,0,0,0,0,0,0,0,75,0,0,0,0,75,0,0,75,0,0,0,0
"83822",0,0,0,0,0,0,0,1489.82,1489.82,0,0,0,1489.82,1489.82,0,0,1489.82,0,0,0,0
"83823",0,0,0,0,0,0,391.93,3013.27,2420,391.93,0,195.965,2420,688.2575,195.965,291.93,11012.12,291.93,0,0,0
"83824",0,0,0,0,0,0,266.97,266.97,1882.75,0,0,0,266.97,1074.86,0,0,2149.72,266.97,0,0,0
"83825",0,0,0,0,0,0,10157.92,18622.37,2462.7,10157.92,0,1269.74,2450,1075.07535714286,1152,2430,30102.11,2430,0,0,0
"83826",0,0,0,0,0,0,454.9,454.9,580,259.9,0,259.9,259.9,400.475,259.9,259.9,1601.9,259.9,0,0,0
"83827",0,0,0,0,0,0,0,632.79,1242.73,0,0,0,632.79,937.76,0,0,1875.52,0,0,0,0
"83828",0,0,0,0,0,0,119.97,3504.65,2376,119.97,0,119.97,2376,553.788571428571,119.97,119.97,3876.52,119.97,0,0,0
"83829",0,0,0,0,0,0,169,169,169,0,0,0,169,169,0,0,169,169,0,0,0
"83830",0,0,0,0,0,0,0,369,2390.66,0,0,0,322,590.946,0,0,2954.73,0,0,119.91,0
"83831",0,0,0,0,0,0,593.32,593.32,593.32,593.32,0,593.32,593.32,593.32,593.32,593.32,593.32,593.32,0,0,0
"83832",0,0,0,0,0,0,44.9,3271.3,2500,0,0,0,2500,654.26,0,0,3271.3,44.9,0,0,0
"83833",0,0,0,0,0,0,1131.7,1525.52,4518,0,0,0,616.2,461.204,0,0,6918.06,616.2,0,0,0
"83834",0,0,0,0,0,0,87.9,2648.47,2483,87.9,0,87.9,850.7,475.006,87.9,87.9,11875.15,87.9,0,0,0
"83835",0,0,0,0,0,0,4629.67,8592.5,1914,1002.89,0,501.445,1914,330.081481481481,501.445,990,8912.2,990,0,260.5,0
"83836",0,0,0,0,0,0,416.17,3121.51,1712,92.32,0,92.32,645.99,326.44875,92.32,92.32,7834.77,205.8,0,0,0
"83837",0,0,0,0,0,0,2732.08,4866.78,959.5,533.89,0,177.963333333333,959.5,336.472,89.95,398.95,5047.08,959.5,0,0,0
"83838",0,0,0,0,0,0,1691.65,2712.98,990,46.11,0,46.11,987.37,380.09875,46.11,46.11,6081.58,781,0,0,0
"83839",0,0,0,0,0,0,1927.41,2702.38,2115.34,1020.46,0,1020.46,1020.46,392.5995,1020.46,1020.46,15703.98,1020.46,0,0,0
"83840",0,0,0,0,0,0,2626.79,3772.95,1250,0,293,0,1250,275.8734375,0,0,8827.95,1250,505,1770,1465
"83841",0,0,0,0,0,0,8679.93,14138.09,2404.27,2525.12,0,1262.56,2404.27,375.73064516129,1262.56,2404.27,23295.3,2404.27,0,0,0
"83842",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"83843",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.99,0
"83844",0,0,0,0,0,0,215.6,878.1,662.5,0,0,0,662.5,279.55,0,0,1397.75,215.6,0,136,0
"83845",0,0,0,0,0,0,0,0,75,0,0,0,0,75,0,0,75,0,0,0,0
"83846",0,0,0,0,0,0,119.25,606.57,291.13,0,0,0,291.13,147.57,0,0,737.85,119.25,0,0,0
"83847",0,0,0,0,0,0,5656.11,8700.84,2325,3340.67,0,835.1675,2325,457.661428571429,461.285,2325,12814.52,2325,0,0,0
"83848",0,0,0,0,0,0,0,85.77,626.26,0,193.05,0,85.77,170.054,0,0,850.27,0,274.19,1401.82,579.15
"83849",0,0,0,0,0,0,929,1492.98,897,0,0,0,897,262.275,0,0,3147.3,897,0,0,0
"83850",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,325.43,0
"83851",0,0,0,0,0,0,0,223.68,223.68,0,0,0,223.68,223.68,0,0,223.68,0,0,0,0
"83852",0,0,0,0,0,0,24.49,24.49,1623.46,0,0,0,24.49,389.194,0,0,1945.97,24.49,0,0,0
"83853",0,0,0,0,0,0,935.39,2247.19,678,811.87,0,405.935,678,351.027142857143,405.935,678,2457.19,678,0,0,0
"83854",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"83855",0,0,0,0,0,0,0,799,655,0,1050,0,655,247.7675,0,0,991.07,0,1050,2691.6,1050
"83856",0,0,0,0,0,0,1512.8,1880.37,951.14,530,0,530,530,389.032727272727,530,530,4279.36,530,0,0,0
"83857",0,0,0,0,0,0,205,3056.99,2077,205,0,205,1530,424.69,205,205,8918.49,205,0,0,0
"83858",0,0,0,0,0,0,287.29,1456.81,779.12,0,0,0,779.12,212.753,0,0,2127.53,239.24,0,350.35,0
"83859",0,0,0,0,0,0,0,0,0,0,296.724615384615,0,0,0,0,0,0,0,1649,28070.53,3857.42
"83860",0,0,0,0,0,0,269.1,1984.66,1032.84,0,0,0,1032.84,258.231428571429,0,0,3615.24,269.1,0,0,0
"83861",0,0,0,0,0,0,3869.15,4245.65,1945.29,1945.29,0,1945.29,1945.29,849.13,1945.29,1945.29,4245.65,1945.29,0,1005,0
"83862",0,0,0,0,0,0,0,0,17.95,0,0,0,0,17.95,0,0,17.95,0,0,0,0
"83863",0,0,0,0,0,0,1493.84,1493.84,1493.84,0,0,0,1493.84,1116.35,0,0,5581.75,1493.84,0,0,0
"83864",0,0,0,0,0,0,1175.15,1341.14,1995.78,608.23,0,304.115,581.4,508.069090909091,304.115,581.4,5588.76,581.4,0,0,0
"83865",0,0,0,0,0,0,320.84,320.84,275.93,0,0,0,275.93,100.1625,0,0,400.65,275.93,0,0,0
"83866",0,0,0,0,0,0,10.16,19.04,10.16,0,0,0,10.16,9.41333333333333,0,0,28.24,10.16,0,0,0
"83867",0,0,0,0,0,0,205,3056.99,2077,205,0,205,1530,424.69,205,205,8918.49,205,0,0,0
"83868",0,0,0,0,0,0,140,140,140,0,0,0,140,131.5,0,0,263,140,0,119.85,0
"83869",0,0,0,0,0,0,302.79,1901.64,1495,0,0,0,1495,199.83,0,0,2597.79,142.5,0,399.14,0
"83870",0,0,0,0,0,0,25751.88,44965.08,23778,10010,300,2002,11018,3246.13275,300,8810,129845.31,11018,300,1200,1200
"83871",0,0,0,0,0,0,2105.68,4818.22,1710,1710,0,1710,1710,867.275555555556,1710,1710,7805.48,1710,0,0,0
"83872",0,0,0,0,0,0,1958.55,2692.39,798.98,373.1,509.9,373.1,798.98,344.770833333333,373.1,373.1,4137.25,798.98,509.9,909.8,509.9
"83873",0,0,0,0,0,0,2595,4095,2105,0,0,0,2105,1302.005,0,0,5208.02,2105,0,0,0
