"","Fraud","Amount","card_freq_1","card_freq_3","card_freq_7","card_freq_14","card_freq_30","merchant_freq_1","merchant_freq_3","merchant_freq_7","merchant_freq_14","merchant_freq_30","merchant_card_1","merchant_card_3","merchant_card_7","merchant_card_14","merchant_card_30","card_merchant_1","card_merchant_3","card_merchant_7","card_merchant_14","card_merchant_30","Avg_Amount_Card_1","Avg_Amount_Card_3","Avg_Amount_Card_7","Avg_Amount_Card_14","Avg_Amount_Card_30","Total_Amount_Card_1","Total_Amount_Card_3","Total_Amount_Card_7","Total_Amount_Card_14","Total_Amount_Card_30","Median_Amount_Card_1","Median_Amount_Card_3","Median_Amount_Card_7","Median_Amount_Card_14","Median_Amount_Card_30","Max_Amount_Card_1","Max_Amount_Card_3","Max_Amount_Card_7","Max_Amount_Card_14","Max_Amount_Card_30","Avg_Amount_Merch_1","Avg_Amount_Merch_3","Avg_Amount_Merch_7","Avg_Amount_Merch_14","Avg_Amount_Merch_30","Total_Amount_Merch_1","Total_Amount_Merch_3","Total_Amount_Merch_7","Total_Amount_Merch_14","Total_Amount_Merch_30","Median_Amount_Merch_1","Median_Amount_Merch_3","Median_Amount_Merch_7","Median_Amount_Merch_14","Median_Amount_Merch_30","Max_Amount_Merch_1","Max_Amount_Merch_3","Max_Amount_Merch_7","Max_Amount_Merch_14","Max_Amount_Merch_30","zip_card_1","zip_card_3","zip_card_7","zip_card_14","zip_card_30","zip_merchant_1","zip_merchant_3","zip_merchant_7","zip_merchant_14","zip_merchant_30"
"62848","No",3.62,74,177,353,375,413,174,294,669,1012,1553,1,1,2,2,3,43,52,66,76,100,0.957466581,0.912241237,0.891308442,0.876156914,0.825603163,0.012938738,0.005153905,0.002524953,0.002336418,0.001999039,1,1,1,1,1,0.435619735,0.315881326,0.278461538,0.22625,0.035490196,5.888965517,0.624152572,0.621764771,0.509974135,0.393324924,0.00353281,0.002122968,0.000929394,0.000503927,0.000253268,0.986376022,0.986376022,0.986376022,0.986376022,0.986376022,0.059295659,0.059295659,0.027424242,0.009016189,0.002432796,1,1,1,1,2,1,1,1,1,1
"61460","No",619.97,2,2,5,5,10,9,18,30,51,136,2,2,3,3,5,9,17,27,38,70,1.48857702,1.48857702,2.032728513,2.032728513,2.39802115,0.74428851,0.74428851,0.406545703,0.406545703,0.239802115,1.48857702,1.48857702,2.807835145,2.807835145,2.858321807,1,1,1,1,1,383.0722222,1.081179589,1.14146575,1.397716422,1.766368082,0.179823938,0.060065533,0.038048858,0.027406204,0.012988001,1.452056399,1.79826546,1.79826546,3.351370344,3.437879502,0.864322659,0.252739503,0.252739503,0.252739503,0.252739503,2,2,3,3,5,1,1,1,1,1
"41650","No",116.15,1,1,1,1,3,1,1,1,1,3,1,1,1,1,3,1,1,1,1,2,1,1,1,1,0.257696887,1,1,1,1,0.085898962,1,1,1,1,0.492119312,1,1,1,1,0.11615,116.15,1,1,1,0.552525172,1,1,1,1,0.184175057,1,1,1,1,1,1,1,1,1,0.257824639,1,1,1,1,3,1,1,1,1,1
"77624","No",102.88,1,1,1,2,4,1,1,1,1,2,1,1,1,2,4,1,1,1,1,2,1,1,1,0.080599166,0.135730966,1,1,1,0.040299583,0.033932741,1,1,1,0.080599166,0.429561587,1,1,1,0.041991837,0.041991837,102.88,1,1,1,0.272306186,1,1,1,1,0.136153093,1,1,1,1,0.272306186,1,1,1,1,0.157612526,1,1,1,2,4,1,1,1,1,1
"35364","No",94.32,2,4,11,16,36,4,8,13,20,58,2,4,10,13,22,4,8,10,16,33,0.309438667,0.407341827,0.400998709,0.414719873,0.31245468,0.154719333,0.101835457,0.036454428,0.025919992,0.008679297,0.309438667,0.595868343,0.49125,0.480660449,0.4635345,0.183039006,0.183039006,0.148451272,0.148451272,0.110738019,275.9175,0.369371751,0.530311615,0.39304258,0.370528209,0.085460328,0.046171469,0.040793201,0.019652129,0.006388417,0.423995864,0.697323673,0.969672047,0.963973632,0.709813365,0.150986889,0.150986889,0.150986889,0.075972614,0.070722673,2,4,10,13,22,1,1,1,1,1
"64016","No",28.5,4,5,8,14,18,1,2,3,6,10,4,5,8,12,16,1,2,3,5,6,0.676758682,0.085665334,0.10197008,0.103967168,0.106374596,0.169189671,0.017133067,0.01274626,0.007426226,0.0059097,0.682634731,0.518181818,0.495867769,0.398740818,0.398740818,0.475396163,0.019063545,0.019063545,0.019063545,0.019063545,28.5,0.647727273,0.387755102,0.093086554,0.131518228,1,0.323863636,0.129251701,0.015514426,0.013151823,1,0.647727273,0.478991597,0.4,0.520547945,1,0.478991597,0.21509434,0.019,0.019,4,5,8,12,16,1,1,1,1,1
"76038","No",6.2,1,2,2,2,2,4,22,28,44,67,1,2,2,2,2,3,17,18,28,41,1,0.672086721,0.672086721,0.672086721,0.672086721,1,0.33604336,0.33604336,0.33604336,0.33604336,1,0.672086721,0.672086721,0.672086721,0.672086721,1,0.506122449,0.506122449,0.506122449,0.506122449,11.08,0.032390279,0.029655798,0.032084832,0.04002968,0.139891697,0.001472285,0.001059136,0.000729201,0.000597458,0.696629213,0.120248254,0.087545891,0.106164384,0.0924821,0.299227799,0.003934534,0.003934534,0.003934534,0.003934534,1,2,2,2,2,1,1,1,1,1
"3725","No",60,2,2,2,3,3,1,1,1,1,1,2,2,2,3,3,1,1,1,1,1,0.91296409,0.91296409,0.91296409,0.851345599,0.851345599,0.456482045,0.456482045,0.456482045,0.283781866,0.283781866,0.91296409,0.91296409,0.91296409,0.839865622,0.839865622,0.839865622,0.839865622,0.839865622,0.750093762,0.750093762,60,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,3,3,1,1,1,1,1
"72983","No",51.23,2,6,10,23,48,5,9,9,16,20,2,5,7,14,25,3,4,4,6,9,0.559371076,0.130432015,0.163607737,0.238497069,0.217509447,0.279685538,0.021738669,0.016360774,0.010369438,0.004531447,0.559371076,0.200457809,0.231841426,0.388282553,0.352896604,0.388282553,0.038079027,0.038079027,0.038079027,0.038079027,387.398,0.106270629,0.106270629,0.129803825,0.140442354,0.026448252,0.011807848,0.011807848,0.008112739,0.007022118,0.10249895,0.10249895,0.10249895,0.126227347,0.150607811,0.078029091,0.04282478,0.04282478,0.04282478,0.04282478,2,5,7,14,25,1,1,1,1,1
"75325","No",103.62,3,4,7,9,21,1,2,4,7,15,3,4,7,9,18,1,2,2,3,7,0.372903721,0.47155193,0.584193104,0.595741691,0.383359936,0.12430124,0.117887983,0.083456158,0.066193521,0.018255235,0.370071429,0.540222095,0.690846056,0.690846056,0.624216867,0.230266667,0.230266667,0.230266667,0.230266667,0.05193985,103.62,1.25920525,0.068581413,0.095286138,0.147750238,1,0.629602625,0.017145353,0.013612305,0.009850016,1,1.25920525,0.08024285,0.276748037,1.297195794,1,1,0.030476471,0.030476471,0.030476471,3,4,7,9,16,1,1,1,1,1
"49249","No",5.99,1,4,9,16,36,1,1,2,4,6,1,2,4,4,7,1,1,2,4,4,1,0.841883345,0.079697825,0.136487276,0.094699814,1,0.210470836,0.008855314,0.008530455,0.00263055,1,1.240165631,1,1.632152589,1.632152589,1,0.395902181,0.01761972,0.01761972,0.013050109,5.99,1,0.201446107,0.077625867,0.083840717,1,1,0.100723054,0.019406467,0.013973453,1,1,0.201446107,0.13539783,0.13539783,1,1,0.112004488,0.027965825,0.027965825,1,2,4,4,7,1,1,1,1,1
"80026","No",0.38,21,21,21,21,21,39,65,99,136,246,1,1,1,1,1,11,32,55,84,148,0.252212389,0.252212389,0.252212389,0.252212389,0.252212389,0.012010114,0.012010114,0.012010114,0.012010114,0.012010114,0.4,0.4,0.4,0.4,0.4,0.05,0.05,0.05,0.05,0.05,171.0433333,0.001465743,0.001264428,0.001071405,0.000886885,5.7e-05,2.25e-05,1.28e-05,7.88e-06,3.61e-06,0.09921671,0.0038,0.002638889,0.002289157,0.001938776,0.000238245,0.000238245,0.000162643,0.000162137,0.000104396,1,1,1,1,1,4,14,28,41,63
"20247","No",1540.88,6,9,31,56,94,1,1,1,1,1,6,8,27,35,54,1,1,1,1,1,1.897031938,2.318821387,2.691505582,2.98093416,2.899448827,0.31617199,0.257646821,0.086822761,0.053230967,0.0308452,2.017862288,5.254492754,6.432125564,8.308422301,6.15687058,0.955608201,0.955608201,0.634368053,0.634368053,0.623838057,1540.88,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,8,25,30,45,1,1,1,1,1
