"","Fraud","Avg_amount_merch_1","Amount","Card_freq_7","Card_freq_14","Card_freq_3","Avg_amount_merch_30","Median_amount_merch_30","Avg_amount_merch_14","Card_freq_1","Card_freq_30","Merchant_freq_3","Avg_amount_merch_7","Merchant_freq_7","Merchant_freq_1","Median_amount_merch_14","Total_amount_card_1","Merchant_freq_14","Max_amount_card_1","Total_amount_card_3","Avg_amount_card_30"
"70640","No",0.883457643488153,1.38033723647432,-0.257190014631956,-0.312845607091289,-0.174117786088371,-0.0491268785731913,-0.173737240556957,-0.0393707698624695,-0.139581230360991,-0.482375211004203,-0.425770322045206,-0.0336866972140832,-0.427255138087208,-0.393317447281352,-0.149658469768819,-0.5895899226164,-0.426624889480631,0.384244947398947,-0.269171125433552,0.359061156602276
"24653","No",-0.268827583589856,-0.416231392788304,-0.159733453881421,-0.312845607091289,-0.0192501307642183,-0.578912202813965,-0.33550262977596,-0.659233727749751,0.145134227819836,-0.453722177760927,-0.425770322045206,-0.697848307365508,-0.4085182373497,-0.393317447281352,-0.318884273158234,-1.52817411417103,-0.375461108107452,-2.18172527544207,-1.15588400534229,-0.398399094882821
"46956","No",0.255920589781344,0.40192203345339,-0.403374855757758,-0.477365113363178,-0.406419269074599,0.129970914430485,-0.173737240556957,0.357289605470736,-0.329391535814876,-0.539681277490753,-0.425770322045206,-0.0336866972140832,-0.427255138087208,-0.393317447281352,-0.0406802603400067,0.949497927172495,-0.421508511343313,0.619430680928114,1.32370967999292,0.203192310538304
"23656","No",-0.233171880214754,-0.414001622900485,0.278821069495985,0.0984531585884338,0.677654318194467,-0.560257527629917,-0.305772840231327,-0.643732721787996,0.999280602362317,-0.0812327455983508,1.40207536104552,-0.738381226667872,0.556432150631986,2.64935799378479,-0.284137059830404,-1.52485639943803,0.141293083761655,-2.13271457611535,-1.15256371744121,-0.31765067185159
"38515","No",0.403736057856233,0.632386354805953,-0.305918295007223,-0.395105360227234,-0.251551613750447,-0.0491268785731913,-0.173737240556957,-0.0393707698624695,-0.329391535814876,-0.511028244247478,-0.425770322045206,-0.0336866972140832,-0.427255138087208,-0.393317447281352,-0.149658469768819,0.949497927172495,-0.426624889480631,0.619430680928114,0.602200572419656,0.277373493199964
"68126","No",-0.154768256796828,-0.238397464542258,-0.208461734256689,-0.230585853955345,-0.251551613750447,-0.343679910261275,-0.184992591316532,-0.0393707698624695,-0.329391535814876,-0.195844878571451,-0.425770322045206,-0.0336866972140832,-0.427255138087208,-0.393317447281352,-0.149658469768819,0.949497927172495,-0.426624889480631,0.619430680928114,0.196365764271327,-0.154387273028487
"61430","No",-0.242332500199307,-0.363108103180268,-0.208461734256689,-0.353975483659261,-0.0966839584262945,-0.445904918882381,-0.163042405943724,-0.553158772159118,-0.329391535814876,-0.224497911814726,-0.39061944352423,-0.0313028728466916,-0.380412886243437,-0.363191947864855,-0.0371141992023809,0.949497927172495,-0.385693864382088,0.619430680928114,-1.11752142728313,-0.323187187835693
"83441","No",-0.196623463342391,-0.303655396592424,-0.403374855757758,-0.518494989931151,-0.406419269074599,-0.547655737153386,-0.315371995679574,-0.659380101783499,-0.329391535814876,-0.482375211004203,-0.425770322045206,-0.76858042792988,-0.389781336612191,-0.393317447281352,-0.278051596499129,0.949497927172495,-0.385693864382088,0.619430680928114,1.32370967999292,-0.0298528830417314
"40843","No",-0.0190311345024404,-0.0267649190492744,0.0351796676196481,0.38636229456424,0.21305135222201,-0.0491268785731913,-0.173737240556957,-0.0393707698624695,-0.139581230360991,0.577787018996977,-0.425770322045206,-0.0336866972140832,-0.427255138087208,-0.393317447281352,-0.149658469768819,-0.8418209112566,-0.426624889480631,-0.970964538531451,-0.653863417813559,0.347901483661066
"64407","No",-0.265540788207127,-0.411106833923316,-0.159733453881421,-0.107196224251428,-0.0966839584262945,-0.582966707829118,-0.336020165503349,-0.678788455570026,-0.234486383087934,-0.0525797123550757,-0.425770322045206,-0.426174749542489,-0.4085182373497,-0.393317447281352,-0.321838686031371,-1.42388232339482,-0.221969763987915,-2.12176583985367,-1.18217268761243,-0.418458888687059
"24330","No",-0.103890671475468,-0.00274599429276939,-0.403374855757758,-0.518494989931151,-0.406419269074599,-0.346750045994459,-0.173737240556957,-0.459067370417224,-0.329391535814876,-0.511028244247478,-0.408194882784718,-0.208813603149392,-0.380412886243437,-0.363191947864855,-0.227924473111913,0.949497927172495,-0.385693864382088,0.619430680928114,1.32370967999292,-0.0885973315207824
"82110","No",-0.0340851591561618,-0.0502361810263152,-0.305918295007223,-0.271715730523317,-0.328985441412523,-0.396135381115145,-0.274507048179634,-0.410666824037543,-0.234486383087934,-0.109885778841626,-0.425770322045206,-0.186923572815752,-0.417886687718454,-0.393317447281352,-0.209591364409783,0.00779229966446609,-0.406159376931359,0.619430680928114,0.381273680211712,-0.139722668355413
"45329","No",-0.23760051844982,-0.367544171693929,-0.305918295007223,-0.271715730523317,-0.251551613750447,-0.0491268785731913,-0.173737240556957,-0.0393707698624695,-0.234486383087934,-0.281803978301277,-0.425770322045206,-0.0336866972140832,-0.427255138087208,-0.393317447281352,-0.149658469768819,0.149814506743032,-0.426624889480631,0.619430680928114,-0.807489182086583,-0.368772446465164
"32435","No",-0.154517356385932,-0.238006276842641,-0.305918295007223,-0.271715730523317,-0.328985441412523,-0.324290464949666,-0.25898680983432,-0.368584450370612,-0.234486383087934,-0.195844878571451,-0.408194882784718,-0.418355078049351,-0.417886687718454,-0.393317447281352,-0.240106418826268,-0.221263394959762,-0.421508511343313,0.619430680928114,0.152040333544763,-0.182318906894063
"7116","No",-0.248805730800407,-0.385014614358839,-0.403374855757758,-0.518494989931151,-0.406419269074599,-0.0491268785731913,-0.173737240556957,-0.0393707698624695,-0.329391535814876,-0.539681277490753,-0.425770322045206,-0.0336866972140832,-0.427255138087208,-0.393317447281352,-0.149658469768819,0.949497927172495,-0.426624889480631,0.619430680928114,1.32370967999292,-0.343987447134331
"40227","No",-0.196668625416352,-0.303725810378355,-0.403374855757758,-0.518494989931151,-0.406419269074599,-0.424447082318439,-0.237950930889993,-0.503043869119024,-0.329391535814876,-0.453722177760927,-0.39061944352423,-0.611412329768743,-0.399149786980945,-0.393317447281352,-0.0728570533230781,0.949497927172495,-0.406159376931359,0.619430680928114,1.32370967999292,-0.223824503118846
"74583","No",3.16810660501908,4.94241419164994,0.278821069495985,0.633141553972074,0.135617524559934,-0.0491268785731913,-0.173737240556957,-0.0393707698624695,0.0502290750928936,0.377215786294051,-0.425770322045206,-0.0336866972140832,-0.427255138087208,-0.393317447281352,-0.149658469768819,0.842809026706543,-0.426624889480631,0.619430680928114,0.596691022277671,2.60726303081963
"31637","No",-0.219751463218725,-0.339715078743151,-0.35464657538249,-0.395105360227234,-0.406419269074599,-0.0491268785731913,-0.173737240556957,-0.0393707698624695,-0.329391535814876,-0.453722177760927,-0.425770322045206,-0.0336866972140832,-0.427255138087208,-0.393317447281352,-0.149658469768819,0.949497927172495,-0.426624889480631,0.619430680928114,1.32370967999292,-0.233729752475592
"39503","No",1.150189870311,3.84407648743432,-0.305918295007223,-0.353975483659261,-0.251551613750447,0.451831384766895,-0.0185332881079297,0.559990198741543,-0.234486383087934,-0.453722177760927,-0.408194882784718,0.666634179405929,-0.417886687718454,-0.363191947864855,0.0150095667223872,0.854973548619062,-0.421508511343313,0.619430680928114,1.14136188659005,0.10584148257632
"67039","No",0.0289702957586293,-0.360839214522487,-0.257190014631956,-0.353975483659261,-0.251551613750447,-0.540376131123214,-0.314599487548279,-0.632964429808542,-0.234486383087934,-0.253150945058002,-0.179714172398378,-0.730739526471511,-0.258623031449632,-0.24268995019887,-0.298645039411678,-0.309070494308467,-0.242435276537187,0.619430680928114,-0.150529961659243,-0.342300414388227
"53500","No",-0.22326406897126,-0.345191706537794,-0.111005173506154,-0.0660663476834554,-0.328985441412523,-0.369445189108518,-0.272184041529523,-0.410948258129367,-0.234486383087934,0.14799152034785,-0.425770322045206,-0.467854896256856,-0.417886687718454,-0.393317447281352,-0.251745423378354,-1.19782260307233,-0.421508511343313,-1.79597284162863,-0.825276278737312,-0.294374433192215
"24863","No",0.963494874563771,1.50512611265225,-0.208461734256689,-0.271715730523317,-0.251551613750447,0.0296764664915754,-0.158142899626523,-0.0393707698624695,-0.234486383087934,-0.224497911814726,-0.408194882784718,-0.0336866972140832,-0.417886687718454,-0.363191947864855,-0.149658469768819,-0.309070494308467,-0.421508511343313,0.619430680928114,-0.31037677263649,1.0607507085585
"68471","No",0.111838519820577,0.738100918750544,-0.35464657538249,-0.395105360227234,-0.328985441412523,0.352384113589143,-0.0652697135671885,0.460591020183709,-0.234486383087934,-0.310457011544552,-0.408194882784718,0.679731365947939,-0.417886687718454,-0.363191947864855,0.0100949679561423,0.108040589504647,-0.411275755068677,0.619430680928114,0.481599721070039,0.388138282392994
"45712","No",-0.266755424974318,-0.41512041972139,1.00974527512499,1.25008970249166,1.68429407780146,-0.356918998269105,-0.176023440073762,-0.383909557351849,2.13814243508563,0.892970384673004,2.93113857670795,-0.390559369147833,2.64559658286418,1.74559301128989,-0.152084078005716,-1.51374386956056,3.09855964713139,-1.617026947087,-1.14257321665479,-0.274081806844633
"44616","No",-0.141972335841165,-0.218446891861774,0.132636228370183,0.0161934054524892,-0.0192501307642183,-0.0491268785731913,-0.173737240556957,-0.0393707698624695,-0.139581230360991,-0.0812327455983508,-0.425770322045206,-0.0336866972140832,-0.427255138087208,-0.393317447281352,-0.149658469768819,-0.428299058176328,-0.426624889480631,0.619430680928114,-0.857900379394777,-0.188821756334418
"58992","No",0.439057817702081,1.53720350402087,-0.0622768931308866,-0.1483261008194,-0.0966839584262945,0.36723832163419,0.0957339298254792,0.458780609107568,0.0502290750928936,0.00472635413147462,-0.355468565003255,0.548376247629185,-0.389781336612191,-0.272815449615366,0.136244613352961,-0.633806232836332,-0.406159376931359,0.619430680928114,-0.260822466155845,0.802821584373315
"12658","No",-0.266666231600927,-0.414533638171964,0.814832153623925,0.509751924268157,1.5294264224773,-0.222718726216846,-0.141730446818275,-0.246826211267195,2.04323728235868,0.119338487104575,1.12086833287771,-0.28237437940286,0.397168494363164,2.25772650137033,-0.115699953918143,-1.47944932239462,0.038965521015297,-0.764043727005345,-1.10712142337338,-0.295943553053834
"32802","No",-0.25431299481956,-0.373177274568419,-0.208461734256689,-0.230585853955345,-0.251551613750447,-0.379530363556954,-0.173737240556957,0.504142576353638,-0.139581230360991,-0.396416111274377,-0.408194882784718,0.601379253048385,-0.417886687718454,-0.363191947864855,-0.000333972151587123,0.0280161752179593,-0.421508511343313,0.619430680928114,0.401513241089291,-0.324530151367028
"38137","No",-0.244164073198843,-0.377777641915919,-0.403374855757758,-0.518494989931151,-0.406419269074599,-0.0491268785731913,-0.173737240556957,-0.0393707698624695,-0.329391535814876,-0.539681277490753,-0.425770322045206,-0.0336866972140832,-0.427255138087208,-0.393317447281352,-0.149658469768819,0.949497927172495,-0.426624889480631,0.619430680928114,1.32370967999292,0.0425392107694969
